Area_of_Origin;Business_Impact;Civilian_Casualties;Count_of_Persons_Rescued;Estimated_Dollar_Loss;Estimated_Number_Of_Persons_Displaced;Ext_agent_app_or_defer_time;Extent_Of_Fire;Fire_Alarm_System_Impact_on_Evacuation;Fire_Alarm_System_Operation;Fire_Alarm_System_Presence;Fire_Under_Control_Time;Ignition_Source;Incident_Station_Area;Incident_Ward;Last_TFS_Unit_Clear_Time;Latitude;Longitude;Material_First_Ignited;Method_Of_Fire_Control;Possible_Cause;Property_Use;Smoke_Alarm_at_Fire_Origin_Alarm_Failure;Smoke_Alarm_at_Fire_Origin_Alarm_Type;Status_of_Fire_On_Arrival;TFS_Alarm_Time;TFS_Arrival_Time
Living Area (e.g. living, TV, recreation, etc);No business interruption;1;1;100;0;2016-02-06T00:44:30;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system did not operate;Fire alarm system present;2016-02-06T00:45:00;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;313;30;2016-02-06T01:26:56;43,6761;-79,35942;Linen Other than Bedding;Extinguished by fire department;Improperly Discarded;Retirement Home;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2016-02-06T00:38:12;2016-02-06T00:42:05
Cooking Area or Kitchen;Not applicable (not a business);0;1;2000;0;2016-09-17T15:46:00;Confined to object of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2016-09-17T15:48:10;Stove, Range-top burner;225;35;2016-09-17T16:28:23;43,70322;-79,27952;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2016-09-17T15:36:51;2016-09-17T15:41:28
Cooking Area or Kitchen;Not applicable (not a business);1;1;1000;1;2014-09-25T07:26:30;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system did not operate;Fire alarm system present;2014-09-25T07:26:07;Microwave;344;20;2014-09-25T08:23:06;43,66878;-79,40591;Undetermined (formerly 98);Extinguished by occupant;Unintentional, cause undetermined;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Type undetermined;Fire extinguished prior to arrival;2014-09-25T07:18:13;2014-09-25T07:23:10
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);0;1;100000;0;2011-01-28T01:17:00;Spread to entire room of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2011-01-28T01:16:59;Space Heater - Fixed;342;17;2011-01-28T03:18:01;43,67441;-79,44713;Interior Wall/Ceiling;Extinguished by fire department;Design/Construction/Installation/Maintenance Deficiency;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2011-01-28T01:08:35;2011-01-28T01:14:26
Living Area (e.g. living, TV, recreation, etc);No business interruption;0;1;5000;1;2011-01-14T08:49:07;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2011-01-14T08:49:04;Undetermined;343;21;2011-01-14T09:50:56;43,68446;-79,42144;Undetermined (formerly 98);Extinguished by fire department;Electrical Failure;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Hardwired (standalone);Fire with no evidence from street;2011-01-14T08:37:06;2011-01-14T08:42:24
Living Area (e.g. living, TV, recreation, etc);No business interruption;0;1;2500;1;2012-10-16T13:16:00;Confined to part of room/area of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-10-16T13:16:00;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;235;34;2012-10-16T14:01:16;43,72472;-79,30265;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Other unintentional cause, not classified;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2012-10-16T13:07:44;2012-10-16T13:12:59
Cooking Area or Kitchen;No business interruption;1;1;0;0;2015-12-10T19:22:22;Confined to object of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2015-12-10T19:22:22;Stove, Range-top burner;232;38;2015-12-10T19:40:51;43,75428;-79,25156;Other;Fire self extinguished;Unattended;Multi-Unit Dwelling - Over 12 Units;Other reason;Battery operated;Fire extinguished prior to arrival;2015-12-10T19:16:17;2015-12-10T19:18:54
Washroom or Bathroom (toilet,restroom/locker room);No business interruption;0;1;0;0;2011-02-28T00:10:00;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2011-02-28T00:10:00;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;223;36;2011-02-28T00:30:46;43,72088;-79,24145;Rubbish, Trash, Waste;Action taken unclassified;Improperly Discarded;Apartment, Flat, Tenement with Business;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with smoke showing only - including vehicle, outdoor fires;2011-02-27T23:49:47;2011-02-27T23:54:22
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);0;1;5000;10;2011-03-10T11:59:00;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operated;Fire alarm system present;2011-03-10T11:59:30;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;315;19;2011-03-10T12:47:33;43,65429;-79,40684;Rubbish, Trash, Waste;Extinguished by fire department;Undetermined;Rooming/Boarding/Lodging House;Tampered with (vandalism);Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2011-03-10T11:49:10;2011-03-10T11:54:07
Attached Deck;Not applicable (not a business);0;1;5000;0;2012-05-11T00:54:20;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-05-11T01:10:16;Undetermined;315;20;2012-05-11T02:12:29;43,66055;-79,40534;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2012-05-11T00:47:31;2012-05-11T00:51:44
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;1;1;200;0;2012-02-11T08:24:00;Confined to part of room/area of origin;Undetermined;Fire alarm system did not operate;Fire alarm system present;2012-02-11T08:25:23;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;333;28;2012-02-11T08:46:00;43,64804;-79,37174;Rubbish, Trash, Waste;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Remote from fire – smoke did not reach alarm;Interconnected;Fire with no evidence from street;2012-02-11T08:17:26;2012-02-11T08:22:23
Cooking Area or Kitchen;Not applicable (not a business);0;1;6500;4;2012-05-29T18:06:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-05-29T18:06:19;Stove, Range-top burner;442;11;2012-05-29T18:54:43;43,69796;-79,51154;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2012-05-29T17:56:36;2012-05-29T18:01:34
Cooking Area or Kitchen;Not applicable (not a business);1;1;10000;4;2015-04-01T11:51:50;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2015-04-01T11:52:17;Stove, Range-top burner;345;18;2015-04-01T12:55:04;43,66065;-79,44362;Cabinetry;Extinguished by fire department;Unattended;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2015-04-01T11:45:21;2015-04-01T11:49:32
Cooking Area or Kitchen;Not applicable (not a business);1;1;500;0;2012-07-06T12:13:22;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-07-06T12:13:22;Stove, Range-top burner;413;1;2012-07-06T12:40:36;43,73202;-79,58942;Cabinetry;Extinguished by occupant;Improper handling of ignition source or ignited material;Attached Dwelling (eg. rowhouse, townhouse, etc.);Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire extinguished prior to arrival;2012-07-06T12:08:03;2012-07-06T12:12:22
Basement/cellar (not partitioned);Not applicable (not a business);0;1;80000;3;2013-10-17T01:04:00;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2013-10-17T01:08:47;Other;426;18;2013-10-17T02:55:24;43,65809;-79,444;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Unattended;Semi-Detached Dwelling;Other reason;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2013-10-17T00:49:11;2013-10-17T00:54:33
Cooking Area or Kitchen;No business interruption;0;1;0;1;2012-01-31T19:24:25;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-01-31T19:24:25;Oven;426;14;2012-01-31T19:48:22;43,63872;-79,44622;Fabric - Natural (eg. cotton, wool, etc.);Extinguished by occupant;Improper Storage;Apartment, Flat, Tenement with Business;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2012-01-31T19:18:19;2012-01-31T19:22:25
Cooking Area or Kitchen;Not applicable (not a business);1;1;1000;0;2016-04-06T17:22:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2016-04-06T17:22:00;Candle;345;18;2016-04-06T17:51:59;43,66066;-79,43167;Fabric - Natural (eg. cotton, wool, etc.);Extinguished by occupant;Improper handling of ignition source or ignited material;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire extinguished prior to arrival;2016-04-06T17:14:18;2016-04-06T17:17:41
Cooking Area or Kitchen;No business interruption;1;1;10;0;2012-10-10T23:05:00;Confined to object of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-10-10T23:04:46;Stove, Range-top burner;426;18;2012-10-10T23:47:14;43,64977;-79,43369;Other;Extinguished by occupant;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire extinguished prior to arrival;2012-10-10T22:59:28;2012-10-10T23:03:45
Closet (eg. clothes, broom, linen closet, etc.);Not applicable (not a business);1;1;200;0;2015-05-30T13:35:00;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2015-05-30T13:38:06;Incandescent Lamp - Light Bulb, Spotlight;323;30;2015-05-30T14:18:25;43,67498;-79,32528;Bedding;Extinguished by occupant;Design/Construction/Installation/Maintenance Deficiency;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire extinguished prior to arrival;2015-05-30T13:27:31;2015-05-30T13:32:10
Cooking Area or Kitchen;No business interruption;0;1;100;0;2013-12-23T22:15:46;Confined to object of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2013-12-23T22:12:46;Stove, Range-top burner;333;28;2013-12-23T22:45:56;43,65001;-79,36206;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2013-12-23T22:05:09;2013-12-23T22:08:46
Cooking Area or Kitchen;No business interruption;1;1;1;2;2014-10-26T01:38:03;Spread to entire room of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2014-10-26T02:38:00;Stove, Range-top burner;225;35;2014-10-26T02:46:58;43,71108;-79,26981;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with smoke showing only - including vehicle, outdoor fires;2014-10-26T01:28:04;2014-10-26T01:33:20
Cooking Area or Kitchen;No business interruption;1;1;1000;0;2012-12-20T17:44:50;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-12-20T17:46:06;Oven;412;2;2012-12-20T18:39:33;43,72389;-79,61585;Cooking Oil, Grease;Fire self extinguished;Unattended;Apartment, Flat, Tenement with Business;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire extinguished prior to arrival;2012-12-20T17:33:01;2012-12-20T17:39:24
Cooking Area or Kitchen;Not applicable (not a business);1;1;50000;2;2014-11-15T16:39:28;Spread to entire room of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2014-11-15T16:39:29;Undetermined;411;7;2014-11-15T17:37:04;43,73857;-79,53798;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Unintentional, cause undetermined;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2014-11-15T16:26:30;2014-11-15T16:32:53
Living Area (e.g. living, TV, recreation, etc);No business interruption;1;1;10000;1;2014-01-21T06:55:27;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2014-01-21T06:59:06;Central Heating/Cooling Unit;426;14;2014-01-21T07:58:00;43,63896;-79,42737;Books, Magazines, Newspapers;Extinguished by fire department;Improper Storage;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2014-01-21T06:43:47;2014-01-21T06:48:30
Porch or Balcony;No business interruption;1;1;1000;0;2014-05-08T08:55:40;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2014-05-08T08:55:40;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;234;43;2014-05-08T09:20:19;43,76545;-79,19947;Rubbish, Trash, Waste;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2014-05-08T08:48:49;2014-05-08T08:52:58
Cooking Area or Kitchen;No business interruption;1;1;3500;1;2013-02-03T23:43:30;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2013-02-03T23:44:30;Stove, Range-top burner;325;27;2013-02-04T01:01:24;43,66044;-79,3759;Other;Extinguished by fire department;Used or Placed too close to combustibles;Rooming/Boarding/Lodging House;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with smoke showing only - including vehicle, outdoor fires;2013-02-03T23:35:12;2013-02-03T23:40:13
Cooking Area or Kitchen;Not applicable (not a business);0;1;2000;3;2015-07-05T21:14:05;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2015-07-05T21:15:00;Stove, Range-top burner;345;18;2015-07-05T21:53:45;43,65899;-79,43974;Cooking Oil, Grease;Extinguished by fire department;Unattended;Detached/Semi/Attached with Accessory Apartment Below Grade;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2015-07-05T21:06:53;2015-07-05T21:09:53
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);0;1;15000;6;2014-12-20T10:51:06;Confined to part of room/area of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operation undetermined;Fire alarm system present;2014-12-20T11:04:05;Hot Ashes, Embers, Spark;344;19;2014-12-20T12:44:26;43,66538;-79,42446;Undetermined (formerly 98);Extinguished by fire department;Improperly Discarded;Rooming/Boarding/Lodging House;Reason for inoperation undetermined;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2014-12-20T10:39:18;2014-12-20T10:45:17
Cooking Area or Kitchen;Not applicable (not a business);0;1;12000;0;2016-05-25T11:58:00;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2016-05-25T11:59:00;Oven;146;9;2016-05-25T12:41:40;43,7222;-79,50202;Cooking Oil, Grease;Extinguished by fire department;Unattended;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2016-05-25T11:53:34;2016-05-25T11:57:04
Cooking Area or Kitchen;Not applicable (not a business);0;1;5000;2;2015-07-27T17:51:06;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2015-07-27T17:52:06;Stove, Range-top burner;215;44;2015-07-27T18:31:07;43,77552;-79,1395;Cooking Oil, Grease;Extinguished by fire department;Unattended;Detached Dwelling;Unit failure;Hardwired (standalone);Fire with no evidence from street;2015-07-27T17:43:08;2015-07-27T17:47:00
Porch or Balcony;Not applicable (not a business);0;1;25000;6;2013-03-31T20:35:00;Spread beyond room of origin, same floor;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2013-03-31T20:43:15;Open Fired Barbeque - Fixed or Portable;345;19;2013-03-31T21:55:41;43,66745;-79,43053;Exterior Cladding;Extinguished by fire department;Unattended;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Flames showing from large area (more than one storey, large area outdoors);2013-03-31T20:30:33;2013-03-31T20:34:41
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);1;1;40000;1;2014-04-16T06:48:11;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2014-04-16T06:50:45;Undetermined;331;19;2014-04-16T07:43:08;43,6538;-79,41195;Mattress, Pillow;Action taken unclassified;Unintentional, cause undetermined;Semi-Detached Dwelling;Other reason;Not applicable - no smoke alarm or presence undetermined;Unclassified;2014-04-16T06:39:22;2014-04-16T06:42:46
Cooking Area or Kitchen;No business interruption;1;1;150000;1;2017-06-13T17:27:01;Confined to part of room/area of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Not applicable (no system);No Fire alarm system;2017-06-13T17:42:00;Oven;322;29;2017-06-13T18:40:01;43,68887;-79,33453;Cooking Oil, Grease;Extinguished by fire department;Improper handling of ignition source or ignited material;Detached Dwelling;Unit failure;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2017-06-13T17:19:59;2017-06-13T17:24:26
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;1;100;0;2012-11-30T19:01:55;Confined to object of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2012-11-30T19:03:30;Lighters (open flame);426;18;2012-11-30T19:27:42;43,6552;-79,44634;Floor;Extinguished by fire department;Other misuse of ignition source/material ignited;Multi-Unit Dwelling - 2 to 6 Units;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2012-11-30T18:56:11;2012-11-30T19:00:41
Cooking Area or Kitchen;Not applicable (not a business);0;1;250;0;2014-05-04T16:43:05;Confined to object of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2014-05-04T16:43:00;Oven;111;24;2014-05-04T17:39:10;43,7822;-79,40447;Other;Action taken unclassified;Other unintentional cause, not classified;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Unclassified;2014-05-04T16:35:49;2014-05-04T16:42:53
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;1;1;15000;1;2015-09-22T23:22:16;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2015-09-22T23:24:22;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;445;3;2015-09-23T00:20:31;43,66431;-79,56315;Mattress, Pillow;Extinguished by fire department;Improper handling of ignition source or ignited material;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2015-09-22T23:11:08;2015-09-22T23:16:56
Cooking Area or Kitchen;Not applicable (not a business);0;1;1000;1;2015-03-16T02:54:30;Confined to object of origin;Undetermined;Fire alarm system did not operate;Fire alarm system present;2015-03-16T02:54:31;Stove, Range-top burner;326;30;2015-03-16T03:26:08;43,66281;-79,33226;Multiple Objects or Materials;Extinguished by fire department;Other misuse of ignition source/material ignited;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with smoke showing only - including vehicle, outdoor fires;2015-03-16T02:47:19;2015-03-16T02:52:34
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);0;1;500;0;2013-09-16T00:43:15;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2013-09-16T00:43:15;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;325;27;2013-09-16T01:25:43;43,65536;-79,37392;Linen Other than Bedding;Extinguished by fire department;Improperly Discarded;Shelter for displaced/abused persons;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2013-09-16T00:35:38;2013-09-16T00:40:37
Cooking Area or Kitchen;No business interruption;1;1;0;0;2015-10-27T11:34:41;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);No Fire alarm system;2015-10-27T11:34:41;Stove, Range-top burner;231;38;2015-10-27T12:13:20;43,77066;-79,22411;Cooking Oil, Grease;Extinguished by occupant;Unintentional, cause undetermined;Detached Dwelling;Reason for inoperation undetermined;Type undetermined;Fire extinguished prior to arrival;2015-10-27T11:27:35;2015-10-27T11:32:28
Cooking Area or Kitchen;No business interruption;1;1;200;0;2016-09-10T16:37:45;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);No Fire alarm system;2016-09-10T16:37:00;Oven;426;14;2016-09-10T17:02:43;43,64296;-79,43626;Other;Fire self extinguished;Unattended;Semi-Detached Dwelling;No battery;Battery operated;Fire extinguished prior to arrival;2016-09-10T16:32:39;2016-09-10T16:36:00
Cooking Area or Kitchen;Not applicable (not a business);1;1;20000;1;2016-07-26T09:20:14;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2016-07-26T09:23:00;Stove, Range-top burner;435;6;2016-07-26T10:33:13;43,59791;-79,50665;Cabinetry;Extinguished by occupant;Unattended;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire extinguished prior to arrival;2016-07-26T09:15:48;2016-07-26T09:19:45
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);0;1;5000;0;2013-12-20T22:35:28;Confined to part of room/area of origin;Undetermined;Fire alarm system operation undetermined;Undetermined;2013-12-20T22:39:23;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;235;34;2013-12-20T23:09:30;43,72288;-79,30407;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Improperly Discarded;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2013-12-20T22:25:56;2013-12-20T22:30:42
Cooking Area or Kitchen;Not applicable (not a business);1;1;3800;0;2012-11-01T12:45:01;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operation undetermined;Undetermined;2012-11-01T12:44:01;Deep Fat Fryer;232;38;2012-11-01T13:07:45;43,73789;-79,24885;Cabinetry;Extinguished by occupant;Unattended;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire extinguished prior to arrival;2012-11-01T12:36:50;2012-11-01T12:43:01
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;1;1;1000;1;2012-11-29T23:45:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-11-29T23:45:42;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;324;30;2012-11-30T00:14:19;43,6688;-79,33758;Mattress, Pillow;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - 2 to 6 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2012-11-29T23:37:54;2012-11-29T23:39:38
Porch or Balcony;Not applicable (not a business);0;1;2500;1;2013-01-09T23:08:00;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2013-01-09T23:08:39;Undetermined;226;36;2013-01-09T23:50:46;43,67834;-79,27478;Rug, Carpet;Extinguished by fire department;Undetermined;Detached Dwelling;Remote from fire – smoke did not reach alarm;Interconnected;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2013-01-09T22:56:17;2013-01-09T23:03:03
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;1;1;1000;1;2013-01-20T06:50:04;Confined to part of room/area of origin;Undetermined;Fire alarm system operation undetermined;Fire alarm system present;2013-01-20T06:47:39;Undetermined;423;14;2013-01-20T07:26:07;43,66455;-79,46231;Mattress, Pillow;Extinguished by fire department;Undetermined;Multi-Unit Dwelling - 2 to 6 Units;Unit failure;Interconnected;Fire extinguished prior to arrival;2013-01-20T06:34:37;2013-01-20T06:38:37
Stairway, Escalator;No business interruption;1;1;1000;0;2015-12-16T05:49:00;Confined to part of room/area of origin;Undetermined;Fire alarm system operation undetermined;Undetermined;2015-12-16T05:54:38;Candle;343;17;2015-12-16T06:55:07;43,68002;-79,43365;Rubbish, Trash, Waste;Extinguished by fire department;Other misuse of ignition source/material ignited;General Business Office;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Unclassified;2015-12-16T05:42:57;2015-12-16T05:47:35
Cooking Area or Kitchen;Not applicable (not a business);0;1;15000;1;2014-06-23T21:18:53;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2014-06-23T21:18:56;Stove, Range-top burner;132;15;2014-06-23T22:51:19;43,73318;-79,43301;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2014-06-23T21:06:58;2014-06-23T21:11:46
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;0;1;5000;1;2015-10-06T11:28:51;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operated;Fire alarm system present;2015-10-06T11:30:58;Cord, Cable for Appliance, Electrical Articles;442;11;2015-10-06T12:23:59;43,70252;-79,51951;Other Soft Goods, Wearing Apparel;Action taken unclassified;Electrical Failure;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire extinguished prior to arrival;2015-10-06T11:16:17;2015-10-06T11:23:18
